WASP-23 b	0	0.884	0.962	2.9444256	0.0376	0.062	0.0	0.0	0.0	88.39	1024.0	0.0	transit	2010	11/03/24	6.74194444444	-41.2380555556	0.0	0.78	0.765	0.0	5150.0	0.0	
KOI-94 c	0	0.04907293	0.39368287	10.423648	0.1013	0.43	0.0	0.0	0.0	88.36	1012.0	0.0	transit	2012	13/03/15	19.8222222222	41.8911111111	426.2	1.277	1.52	0.0228	6182.0	3.16	
CoRoT-10 b	0	2.75	0.97	13.2406	0.1055	0.53	0.0	0.0	0.0	88.55	600.8	0.0	transit	2010	10/06/14	19.4041666667	0.746111111111	345.0	0.89	0.79	0.26	5075.0	0.0	
HAT-P-1 b	0	0.524	1.217	4.4652934	0.05535	0.067	0.0	0.0	0.0	86.28	1182.1	0.0	transit	2006	11/02/07	22.9630555556	38.675	139.0	1.133	1.115	0.13	5975.0	0.0	
WASP-10 b	0	3.06	1.08	3.0927616	0.0371	0.057	0.0	0.0	0.0	86.8	946.8	0.0	transit	2008	08/12/02	23.2661111111	31.4627777778	90.0	0.71	0.783	0.03	4675.0	0.0	
KOI-94 d	0	0.33344427	1.0270384	22.342989	0.1684	0.022	0.0	0.0	0.0	89.871	806.0	0.0	transit	2012	13/03/15	19.8222222222	41.8911111111	426.2	1.277	1.52	0.0228	6182.0	3.16	
XO-3 b	0	11.79	1.217	3.1915239	0.0454	0.26	0.0	0.0	0.0	84.2	1554.5	0.0	transit	2007	12/04/08	4.36472222222	57.8169444444	260.0	1.213	1.377	-0.177	6429.0	0.0	
HAT-P-35 b	0	1.054	1.332	3.6467	0.0498	0.025	0.0	0.0	0.0	87.3	1442.8	0.0	transit	2012	12/01/04	8.21666666667	4.78694444444	535.0	1.236	1.435	0.11	6096.0	0.0	
Gliese 436 b	0	0.0737	0.365	2.6438986	0.02887	0.15	0.0	0.0	0.0	85.8	650.3	0.0	transit	2004	12/07/20	11.7030555556	26.7063888889	10.2	0.452	0.464	-0.32	3684.0	0.0	
Gliese 436 c	0	0.0008807961	0.06014599	1.3658	0.0185	0.0	0.0	0.0	0.0	85.1	813.5	0.0	transit	2012	12/07/20	11.7030555556	26.7063888889	10.2	0.452	0.464	-0.32	3684.0	0.0	
KOI-200 b	0	0.68	1.32	7.340718	0.084	0.287	64.0	0.0	0.0	85.55	1250.0	0.0	transit	2012	13/04/22	19.5394444444	41.3555555556	1330.0	1.4	1.51	0.34	6050.0	2.9	
WASP-46 b	0	2.101	1.31	1.43037	0.02448	0.0	0.0	0.0	0.0	82.63	1516.6	0.0	transit	2011	11/05/17	21.2491666667	-54.1283333333	0.0	0.956	0.917	-0.37	5620.0	0.0	
HAT-P-39 b	0	0.599	1.571	3.54387	0.0509	0.0	0.0	0.0	0.0	87.0	1601.9	0.0	transit	2012	12/07/16	7.58388888889	17.83	642.0	1.404	1.625	0.19	6430.0	0.0	
Neptune	0	0.053953	0.35221925	60190.03	30.06952752	0.00895439	46.68158724	304.22289287	131.78635853	1.7700552	40.0	0.0		1846	12/01/01	0.0	0.0	0.0	1.0	1.0	1e-08	0.0	0.0	
WASP-14 b	0	7.341	1.281	2.2437661	0.036	0.087	0.0	0.0	0.0	84.79	1718.8	0.0	transit	2008	12/04/08	14.5516666667	21.8947222222	160.0	1.211	1.306	0.0	6475.0	0.0	
HAT-P-37 b	0	1.169	1.178	2.797436	0.0378	0.058	0.0	0.0	0.0	86.9	1166.3	0.0	transit	2012	12/01/04	18.9530555556	51.2691666667	411.0	0.929	0.877	0.03	5500.0	0.0	
WASP-41 b	0	0.92	1.21	3.052394	0.04	0.0	0.0	0.0	0.0	87.3	1207.5	0.0	transit	2010	10/12/15	0.0	0.0	180.0	0.95	1.01	-0.08	5450.0	0.0	
WASP-3 b	0	2.06	1.454	1.8468372	0.0313	0.0	0.0	0.0	0.0	85.06	1825.6	0.0	transit	2007	11/06/23	18.5755555556	35.6616666667	223.0	1.24	1.31	0.0	6400.0	0.0	
WASP-78 b	0	1.16	1.75	2.17517656	0.0415	0.0	0.0	0.0	0.0	89.0	2006.7	0.0	transit	2012	12/06/07	4.25055555556	-21.8836111111	550.0	2.02	2.31	-0.35	6100.0	0.0	
HD 189733 b	0	1.138	1.138	2.21857312	0.03142	0.0041	0.0	0.0	0.0	85.51	1099.7	0.0	transit	2005	11/12/12	20.0119444444	22.7108333333	19.3	0.8	0.788	-0.03	4980.0	0.0	
KOI-889 b	0	9.9	1.03	8.884924	0.08	0.569	63.6	0.0	0.0	89.1	850.0	0.0	transit	2013	13/04/23	19.4091666667	36.5775	1140.0	0.88	0.88	-0.07	5330.0	6.0	
KELT-2A b	0	1.486	1.306	4.1137914	0.05498	0.185	0.0	0.0	0.0	0.0	1565.7	0.0	transit	2012	12/06/11	6.1775	30.9572222222	128.9	1.31	1.842	-0.015	6148.0	0.0	
WASP-55 b	0	0.57	1.3	4.465633	0.0533	0.0	0.0	0.0	0.0	89.2	1160.1	0.0	transit	2011	12/04/24	13.9172222222	-16.4963888889	330.0	1.01	1.06	-0.2	5900.0	0.0	
CoRoT-18 b	0	3.47	1.31	1.9000693	0.0295	0.08	0.0	0.0	0.0	86.5	1396.0	0.0	transit	2011	12/04/05	0.0	0.0	870.0	0.95	1.0	-0.1	5440.0	0.0	
WASP-45 b	0	1.007	1.16	3.1260876	0.04054	0.0	0.0	0.0	0.0	84.47	1094.2	0.0	transit	2011	11/05/17	0.349166666667	-34.0016666667	0.0	0.909	0.945	0.36	5140.0	0.0	
WASP-31 b	0	0.478	1.537	3.405909	0.04657	0.0	0.0	0.0	0.0	84.54	1410.6	0.0	transit	2010	12/07/05	11.2958333333	-18.9452777778	400.0	1.16	1.24	-0.19	6200.0	0.0	
55 Cnc e	2	0.027	0.194	0.7365449	0.0156	0.06	0.0	0.0	0.0	0.0	1780.9	0.0	transit	2004	12/05/11	8.87694444444	28.3338888889	12.34	0.905	0.943	0.31	5196.0	0.0	
WASP-36 b	0	2.279	1.269	1.5373653	0.02624	0.0	0.0	0.0	0.0	83.65	1554.5	0.0	transit	2010	11/10/25	8.75527777778	-7.97305555556	450.0	1.02	0.943	-0.31	5881.0	0.0	
WASP-66 b	0	2.32	1.39	4.086052	0.0546	0.0	0.0	0.0	0.0	85.9	1647.5	0.0	transit	2011	12/04/24	10.5483333333	-33.0102777778	380.0	1.3	1.75	-0.31	6600.0	0.0	
HAT-P-40 b	0	0.615	1.73	4.457243	0.0608	0.0	0.0	0.0	0.0	88.3	1614.8	0.0	transit	2012	12/07/16	22.3675	45.4575	501.0	1.512	2.206	0.22	6080.0	0.0	
HAT-P-19 b	0	0.292	1.132	4.008778	0.0466	0.067	0.0	0.0	0.0	88.2	922.7	0.0	transit	2010	10/07/29	0.634444444444	34.7116666667	215.0	0.842	0.82	0.23	4990.0	0.0	
HAT-P-8 b	0	1.275	1.321	3.0763402	0.0439	0.0	0.0	0.0	0.0	87.8	1713.0	0.0	transit	2008	12/12/17	22.8694444444	35.4472222222	230.0	1.192	1.475	0.01	6200.0	4.3	
WASP-32 b	0	3.46	1.1	2.718661	0.039	0.0	0.0	0.0	0.0	85.1	1427.6	0.0	transit	2010	13/03/30	0.264166666667	1.20055555556	0.0	1.07	1.09	-0.13	6100.0	2.42	
CoRoT-7 b	0	0.0151	0.15	0.853585	0.0172	0.0	0.0	0.0	0.0	80.1	1666.1	0.0	transit	2009	10/10/15	6.73027777778	-0.937222222222	150.0	0.93	0.87	0.03	5313.0	0.0	
CoRoT-9 b	0	0.84	1.05	95.2738	0.407	0.11	0.0	0.0	0.0	89.9	376.6	0.0	transit	2010	10/03/17	18.7191666667	6.20416666667	460.0	0.99	0.94	-0.01	5625.0	0.0	
HAT-P-5 b	0	1.06	1.252	2.788491	0.04079	0.0	0.0	0.0	0.0	86.75	1387.4	0.0	transit	2007	12/05/22	18.2936111111	36.6216666667	340.0	1.163	1.137	0.24	5960.0	0.0	
WASP-22 b	0	0.588	1.158	3.5327313	0.04698	0.0	0.0	0.0	0.0	88.26	1297.5	0.0	transit	2010	11/07/01	3.52111111111	-22.1802777778	300.0	1.1	1.13	-0.05	6000.0	0.0	
WASP-71 b	0	2.258	1.5	2.9036747	0.04631	0.0	0.0	0.0	0.0	84.2	1888.1	0.0	transit	2012	12/11/14	1.95083333333	0.758888888889	200.0	1.21	1.27	0.0	6050.0	0.0	
HAT-P-21 b	0	4.063	1.024	4.124461	0.0494	0.228	0.0	0.0	0.0	87.2	1161.5	0.0	transit	2010	10/12/11	11.4183333333	41.0280555556	254.0	0.947	1.105	0.01	5588.0	0.0	
CoRoT-20 b	0	4.24	0.84	9.2	0.0902	0.562	0.0	0.0	0.0	88.21	810.2	0.0	transit	2011	11/06/14	0.0	0.0	1230.0	1.14	0.92	0.14	5880.0	0.0	
HAT-P-34 b	0	3.328	1.197	5.4527	0.0677	0.441	0.0	0.0	0.0	87.1	1335.3	0.0	transit	2012	12/01/04	20.2130555556	18.105	257.0	1.392	1.535	0.22	6442.0	0.0	
Kepler-7 b	0	0.433	1.614	4.885525	0.06246	0.1	0.0	0.0	0.0	85.18	1486.8	0.0	transit	2010	11/05/27	19.2388888889	41.0897222222	0.0	1.36	2.02	0.11	5933.0	0.0	
CoRoT-3 b	0	21.66	1.01	4.2568	0.057	0.0	0.0	0.0	0.0	85.9	1554.7	0.0	transit	2008	12/04/05	19.4702777778	0.121944444444	680.0	1.37	1.56	-0.02	6740.0	0.0	
WASP-25 b	0	0.58	1.26	3.76483	0.0474	0.0	0.0	0.0	0.0	87.7	1135.0	0.0	transit	2010	12/03/23	13.0238888889	-26.4777777778	169.0	1.0	0.95	-0.05	5750.0	0.0	
XO-2 b	0	0.62	0.973	2.615838	0.0369	0.045	0.0	0.0	0.0	88.7	1203.3	0.0	transit	2007	11/10/28	7.80194444444	50.2258333333	149.0	0.98	0.964	0.45	5340.0	0.0	
WASP-19 b	0	1.168	1.386	0.78884	0.01655	0.0046	0.0	0.0	0.0	79.4	1911.5	0.0	transit	2009	12/07/05	9.89444444444	-44.3408333333	0.0	0.97	0.99	0.02	5500.0	0.0	
WASP-38 b	0	2.71	1.09	6.87188	0.0758	0.028	-22.2	0.0	0.0	89.5	1152.9	0.0	transit	2010	13/03/30	16.2638888889	10.0325	110.0	1.23	1.35	-0.12	6150.0	3.41	
HAT-P-27 b	0	0.62	1.02	3.039577	0.04	0.0	0.0	0.0	0.0	85.0	1102.7	0.0	transit	2011	13/03/30	14.8511111111	5.94722222222	204.0	0.92	0.87	0.14	5300.0	3.6	
OGLE-TR-113 b	0	1.24	1.11	1.4324772	0.0229	0.0	0.0	0.0	0.0	89.4	1211.0	0.0	transit	2004	10/06/24	10.8733333333	-60.5533333333	1500.0	0.78	0.765	0.14	4752.0	0.0	
HAT-P-38 b	0	0.267	0.825	4.640382	0.0523	0.067	0.0	0.0	0.0	88.3	987.0	0.0	transit	2012	12/01/25	0.0	0.0	249.0	0.886	0.923	0.06	5330.0	0.0	
CoRoT-11 b	0	2.49	1.39	2.994325	0.04351	0.0	0.0	0.0	0.0	81.41	1593.4	0.0	transit	2010	12/07/02	18.7125	5.93777777778	560.0	1.27	1.37	-0.03	6440.0	0.0	
WASP-62 b	0	0.57	1.39	4.411953	0.0567	0.0	0.0	0.0	0.0	88.3	1305.2	0.0	transit	2011	12/04/24	5.80944444444	-62.0116666667	160.0	1.25	1.28	0.04	6230.0	0.0	
HAT-P-32 b	0	0.941	2.037	2.150009	0.0344	0.163	0.0	0.0	0.0	88.7	1677.4	0.0	transit	2011	12/07/05	2.01944444444	46.6877777778	320.0	1.176	1.387	-0.16	6001.0	0.0	
WASP-11 b	0	0.46	1.045	3.722469	0.0439	0.0	0.0	0.0	0.0	88.5	943.2	0.0	transit	2008	08/11/27	3.15805555556	30.6736111111	125.0	0.82	0.81	0.13	4980.0	0.0	
WASP-79 b	0	0.89	1.7	2.17517632	0.0362	0.0	0.0	0.0	0.0	83.2	1958.7	0.0	transit	2012	12/06/07	4.42472222222	-29.3994444444	240.0	1.56	1.64	0.03	6600.0	0.0	
WASP-2 A b	2	0.847	1.079	2.15222144	0.03138	0.0	0.0	0.0	0.0	84.73	1170.7	0.0	transit	2006	13/01/27	20.515	6.42944444444	147.0	0.77	0.0	-0.08	5150.0	0.0	
WASP-33 b	0	4.59	1.438	1.21986967	0.02558	0.0	0.0	0.0	0.0	87.67	2451.5	0.0	transit	2010	12/04/08	2.4475	37.5505555556	116.0	1.495	1.444	0.1	7400.0	0.0	
HAT-P-41 b	0	0.8	1.685	2.69404	0.0426	0.0	0.0	0.0	0.0	87.7	1689.7	0.0	transit	2012	12/07/16	19.8213888889	4.67222222222	344.0	1.418	1.683	0.21	6390.0	0.0	
HAT-P-18 b	0	0.197	0.995	5.508023	0.0559	0.084	0.0	0.0	0.0	88.8	774.9	0.0	transit	2010	10/07/29	17.09	33.0125	166.0	0.77	0.749	0.1	4803.0	0.0	
HAT-P-7 b	0	1.709	1.4588	2.204737	0.0379	0.0	0.0	0.0	0.0	83.111	2733.0	0.0	transit	2008	13/01/24	19.4830555556	47.9694444444	320.0	1.415	1.9276	0.26	6350.0	2.2082	
Kepler-10 b	0	0.0143	0.127	0.837495	0.01684	0.0	0.0	0.0	0.0	84.4	1964.7	0.0	transit	2011	11/05/23	19.0452777778	50.2413888889	173.0	0.895	1.056	-0.15	5627.0	0.0	
Kepler-10 c	0	0.016415	0.203	45.3	0.2396	0.0	0.0	0.0	0.0	84.4	519.7	0.0	transit	2011	11/05/23	19.0452777778	50.2413888889	173.0	0.895	1.056	-0.15	5627.0	0.0	
OGLE-TR-10 b	0	0.68	1.72	3.10129	0.04162	0.0	0.0	0.0	0.0	84.5	1414.1	0.0	transit	2004	10/06/24	17.8577777778	-28.1238888889	1500.0	1.18	1.16	0.28	6075.0	0.0	
HAT-P-20 b	0	7.246	0.867	2.875317	0.0361	0.015	0.0	0.0	0.0	86.8	888.3	0.0	transit	2010	10/12/11	7.46111111111	24.3363888889	70.0	0.756	0.694	0.35	4595.0	0.0	
CoRoT-8 b	0	0.22	0.57	6.21229	0.063	0.0	0.0	0.0	0.0	88.4	783.1	0.0	transit	2010	10/06/14	19.4391666667	1.42666666667	380.0	0.88	0.77	0.3	5080.0	0.0	
WASP-15 b	0	0.542	1.428	3.7520656	0.0499	0.0	0.0	0.0	0.0	85.5	1511.3	0.0	transit	2008	10/11/29	13.9286111111	-31.8402777778	308.0	1.18	1.477	-0.17	6300.0	0.0	
Kepler-4 b	0	0.077	0.357	3.21346	0.0456	0.0	0.0	0.0	0.0	89.76	1474.7	0.0	transit	2010	10/01/06	19.0411111111	50.1358333333	550.0	1.223	1.487	0.17	5857.0	0.0	
HAT-P-26 b	0	0.059	0.565	4.234516	0.0479	0.124	0.0	0.0	0.0	88.6	907.4	0.0	transit	2010	10/10/07	0.0	0.0	134.0	0.816	0.788	-0.04	5079.0	0.0	
WASP-37 b	0	1.696	1.136	3.577471	0.04339	0.0	0.0	0.0	0.0	88.78	1213.5	0.0	transit	2010	10/08/19	14.7963888889	1.065	338.0	0.849	0.977	-0.4	5800.0	0.0	
HAT-P-16 b	0	4.193	1.289	2.77596	0.0413	0.036	0.0	0.0	0.0	86.6	1485.9	0.0	transit	2010	11/05/20	0.638333333333	42.4630555556	235.0	1.218	1.237	0.17	6158.0	0.0	
HAT-P-33 b	0	0.763	1.827	3.474474	0.0503	0.148	0.0	0.0	0.0	86.7	1675.2	0.0	transit	2011	11/06/10	7.54555555556	33.835	419.0	1.403	1.777	0.05	6401.0	0.0	
XO-5 b	0	1.077	1.03	4.1877537	0.0487	0.0	0.0	0.0	0.0	86.8	1133.5	0.0	transit	2008	11/03/07	7.78111111111	39.0947222222	255.0	0.88	1.06	0.18	5510.0	0.0	
OGLE-TR-132 b	0	1.17	1.23	1.689868	0.0306	0.0	0.0	0.0	0.0	83.4	1812.0	0.0	transit	2004	10/12/16	10.8427777778	-60.0430555556	1500.0	1.26	1.34	0.37	6210.0	0.0	
